"","mean","MCSE","q10","q50","q90","ESS","Rhat"
"loglike[1,209]",2.50229222294071,0.0660313381866631,2.3603516507477,2.50750307520936,2.61953550319699,11921.025528715,1.00057997741504
"loglike[1,210]",2.2362812275935,0.0570302063757934,2.11474431121455,2.23932663912554,2.33858824071195,13961.7128992249,1.00001704067829
"loglike[1,211]",2.09459428333898,0.0571215215069827,1.97624495116114,2.09647296761541,2.1995071018871,17568.2294355759,0.999899993840481
"loglike[1,212]",2.47343921883588,0.0655213080727926,2.33220957104543,2.47830399729799,2.58906514075037,11652.3139309718,1.00046986430975
"loglike[1,213]",2.50299765124829,0.0657607896285149,2.36169279198282,2.50784079226627,2.61948499159558,12019.9002141437,1.00059700159329
"loglike[1,214]",2.50150863592666,0.0661077109408209,2.35962604772676,2.50675528548606,2.61893789050827,11884.2947843928,1.00057240826303
"loglike[1,215]",2.45719399550684,0.0648292218066402,2.31766966399834,2.46177951020525,2.57254719836447,11650.8938370094,1.00042948769264
"loglike[1,216]",2.49510361370617,0.0661911306578351,2.3530602757248,2.50045004630451,2.61215872304486,11759.1142491829,1.00053788813523
"loglike[1,217]",2.46252966691987,0.0650635856494514,2.32190609526297,2.46715317813932,2.5778686595901,11647.1018165895,1.00044227441917
"loglike[1,218]",2.50291391237851,0.0658831197359294,2.3613596200581,2.50791449789067,2.61976647692911,11978.6896952515,1.00059041496616
"loglike[1,219]",2.44678894081791,0.0643612877323035,2.30765936976311,2.45143990225098,2.56130354375494,11667.939498758,1.00040547648781
"loglike[1,220]",2.48812701924096,0.0633156657508547,2.35178854025483,2.4924805826937,2.60042731347869,12641.2625594934,1.00065167016504
"loglike[1,221]",2.42084899153443,0.0631757911538097,2.28425313956573,2.42550774327311,2.53363832178963,11756.0319945572,1.00034906380234
"loglike[1,222]",2.48370749441405,0.0659037302442779,2.3420162906786,2.48879671770564,2.59990212774311,11679.3402785919,1.00049866306038
"loglike[1,223]",2.50164367036713,0.0652649423091325,2.36098683856702,2.5064608691749,2.61758462108621,12163.1936237039,1.00061573787237
"loglike[1,224]",2.45201227804054,0.0597230677985077,2.32326969367781,2.45635561113689,2.55831987005024,13518.3125596906,1.00067035590917
"loglike[1,225]",2.49829824309844,0.0646573770977797,2.35947691676331,2.50299906730861,2.61324972411966,12318.4450301564,1.00063085174288
"loglike[1,226]",2.50289790346426,0.0658911681391992,2.36128277913437,2.50789391268931,2.61980226464542,11975.8240968062,1.0005899320711
"loglike[1,227]",2.33650855614979,0.0596778474167287,2.20779526869051,2.34050760010735,2.44388180984119,12419.248255936,1.00018238069793
"loglike[1,228]",2.482985384193,0.0627314860837566,2.34816307312154,2.48732220896173,2.59459214911184,12771.4194472875,1.00065764701383
"loglike[1,229]",2.40058089862209,0.0622654509107439,2.26643069272553,2.40495592378516,2.51187907572167,11863.9971253572,1.00030711861648
"loglike[1,230]",2.50265105925461,0.0655455656509577,2.36147740431132,2.50747261342774,2.61895179875021,12085.3353520455,1.00060626402057
"loglike[1,231]",2.45279839915329,0.0597920681269824,2.32385982321095,2.45720171325033,2.55922765352581,13499.0817672957,1.00067035518104
"loglike[1,232]",2.37147803749683,0.0540210246415767,2.25651141384092,2.37450712093002,2.46792280213,15829.4818444817,1.00061513226092
"loglike[1,233]",2.45425594937074,0.0646982728170822,2.3148511977181,2.45888734492832,2.56942910014761,11654.4835214722,1.00042259648257
"loglike[1,234]",2.3828349779116,0.0614970486649011,2.25062166195043,2.38714538448244,2.49307748179316,11985.0077571164,1.00027145235243
